Name,Niche,Followers,Engagement
User 5260,Gaming,"159,687",1.30%
User 8241,Travel,"853,121",9.40%
User 4499,Gaming,"399,191",7.10%
User 3583,Food,"689,953",3.80%
User 1759,Food,"370,837",11.70%
User 8248,Fashion,"68,305",3.00%
User 1877,Food,"702,735",9.10%
User 5876,Gaming,"357,437",2.00%
User 1722,Tech,"311,902",4.40%
User 8389,Tech,"935,086",6.20%
User 9113,Tech,"503,377",9.70%
User 5029,Tech,"581,546",6.80%
User 4708,Food,"160,832",2.40%
User 4059,Gaming,"671,604",12.40%
User 8684,Fashion,"470,708",10.10%
User 8382,Gaming,"860,386",13.80%
User 3196,Tech,"906,431",12.90%
User 6870,Gaming,"300,636",1.90%
User 4656,Travel,"663,423",13.50%
User 7526,Food,"968,655",10.00%
User 3713,Fashion,"278,874",12.90%
User 3657,Fashion,"591,631",1.20%
User 8203,Food,"700,095",13.70%
User 3780,Gaming,"472,526",2.80%
User 3983,Tech,"37,907",8.50%
User 6120,Tech,"467,784",14.60%
User 9641,Food,"785,384",14.70%
User 2790,Gaming,"255,001",9.20%
User 4220,Fashion,"550,164",14.20%
User 9200,Travel,"41,398",1.60%
User 9905,Tech,"481,182",1.50%
User 3165,Travel,"268,371",5.80%
User 3608,Gaming,"542,172",5.80%
User 9868,Food,"642,995",1.30%
User 9546,Fashion,"803,678",1.90%
User 3125,Gaming,"737,907",13.80%
User 9712,Gaming,"588,242",1.20%
User 3761,Fashion,"302,169",2.40%
User 3918,Food,"98,915",13.40%
User 6887,Fashion,"481,242",1.70%
User 9263,Travel,"210,725",1.10%
User 2057,Tech,"126,076",1.20%
User 5226,Fashion,"136,131",4.20%
User 9828,Travel,"826,064",11.00%
User 9296,Gaming,"413,964",3.00%
User 1006,Fashion,"968,621",4.90%
User 4476,Tech,"65,890",7.70%
User 5557,Tech,"870,761",8.30%
User 1124,Fashion,"118,699",1.70%
User 4814,Gaming,"570,021",8.10%
User 4196,Travel,"170,939",7.10%
User 8662,Fashion,"447,547",9.60%
User 6987,Fashion,"216,769",6.70%
User 9913,Food,"71,326",7.20%
User 3987,Fashion,"855,649",7.40%
User 5261,Tech,"226,265",5.00%
User 7511,Gaming,"928,548",7.90%
User 7257,Food,"466,693",3.20%
User 5585,Tech,"938,972",10.00%
User 7489,Fashion,"842,646",14.90%
User 2311,Fashion,"713,788",14.00%
User 8916,Gaming,"61,839",3.70%
User 2136,Food,"109,012",13.50%
User 7688,Gaming,"801,160",7.70%
User 7149,Food,"238,410",10.40%
User 9151,Food,"453,060",5.60%
User 4806,Food,"357,520",7.20%
User 7388,Gaming,"165,893",14.70%
User 5090,Food,"817,127",5.90%
User 8137,Tech,"917,411",9.30%
User 6697,Gaming,"319,984",12.30%
User 4136,Tech,"745,891",4.30%
User 7996,Gaming,"297,847",10.80%
User 2678,Fashion,"320,361",15.00%
User 1250,Tech,"685,418",5.10%
User 7841,Gaming,"557,384",3.40%
User 7507,Food,"558,413",14.50%
User 1581,Travel,"833,150",2.70%
User 4001,Food,"297,472",12.90%
User 8588,Food,"814,073",11.50%
User 6403,Travel,"698,382",5.80%
User 5848,Gaming,"826,392",6.30%
User 3561,Travel,"106,117",6.70%
User 4818,Food,"635,240",3.90%
User 9846,Gaming,"486,399",13.30%
User 9455,Travel,"244,169",3.30%
User 7206,Tech,"891,845",1.30%
User 4330,Tech,"916,948",11.10%
User 9570,Tech,"846,070",7.90%
User 2323,Fashion,"683,820",14.00%
User 2266,Tech,"552,165",11.30%
User 5854,Tech,"557,832",10.00%
User 9482,Fashion,"991,223",1.80%
User 7995,Travel,"174,990",14.40%
User 4818,Food,"780,080",5.70%
User 4810,Gaming,"313,204",6.10%
User 9546,Tech,"310,032",7.20%
User 4664,Fashion,"326,208",8.10%
User 7849,Food,"197,164",9.60%
User 7433,Travel,"101,110",12.60%
User 9013,Food,"263,640",2.80%
User 5452,Travel,"149,276",11.00%
User 3129,Fashion,"311,037",10.80%
User 8697,Travel,"485,851",2.60%
User 6271,Gaming,"375,656",11.20%
User 1268,Gaming,"327,145",12.90%
User 2539,Gaming,"230,147",2.70%
User 8270,Tech,"416,150",10.60%
User 2638,Food,"836,305",2.20%
User 3122,Food,"143,667",9.30%
User 7493,Fashion,"693,079",10.60%
User 9349,Gaming,"17,644",11.70%
User 8378,Tech,"390,903",3.50%
User 8540,Food,"579,674",11.00%
User 7372,Travel,"831,972",2.60%
User 8327,Gaming,"401,770",8.80%
User 1139,Travel,"937,912",7.90%
User 5582,Fashion,"330,268",6.90%
User 5632,Fashion,"42,087",11.70%
User 5143,Gaming,"996,297",9.80%
User 5758,Gaming,"725,940",6.10%
User 2032,Travel,"598,914",5.60%
User 9336,Gaming,"484,138",6.90%
User 8634,Fashion,"854,822",9.20%
User 5090,Travel,"87,796",11.70%
User 3504,Gaming,"594,081",8.60%
User 9381,Food,"45,620",2.60%
User 4372,Fashion,"776,440",1.60%
User 9126,Gaming,"440,031",11.70%
User 6597,Tech,"561,561",14.60%
User 8641,Fashion,"3,164",13.10%
User 2262,Tech,"839,513",4.30%
User 9143,Fashion,"656,295",9.40%
User 7710,Gaming,"63,426",3.50%
User 6551,Fashion,"285,725",5.40%
User 2682,Fashion,"118,084",4.00%
User 2067,Travel,"976,389",3.50%
User 6822,Gaming,"947,680",12.00%
User 7415,Gaming,"955,399",14.40%
User 3012,Tech,"936,869",14.80%
User 5526,Gaming,"352,950",10.40%
User 8358,Travel,"138,143",2.10%
User 9853,Tech,"469,658",5.90%
User 3232,Tech,"30,047",3.60%
User 4311,Tech,"482,442",6.10%
User 7245,Gaming,"897,947",5.10%
User 6381,Food,"344,914",7.30%
User 7666,Travel,"313,188",4.00%
User 2087,Food,"824,389",1.60%
User 5393,Tech,"764,114",7.40%
User 5027,Food,"98,550",11.60%
User 8053,Food,"855,584",10.00%
User 6215,Gaming,"565,708",11.00%
User 7145,Fashion,"644,280",1.90%
User 6312,Fashion,"699,866",2.10%
User 5880,Travel,"770,089",14.30%
User 9527,Gaming,"850,433",3.00%
User 6672,Travel,"931,402",7.10%
User 7633,Travel,"338,749",13.70%
User 1301,Travel,"404,189",9.10%
User 4700,Tech,"592,234",9.60%
User 7911,Gaming,"634,502",8.40%
User 4318,Food,"986,455",4.10%
User 1041,Travel,"219,513",12.30%
User 8664,Tech,"818,786",1.40%
User 9398,Fashion,"637,055",7.90%
User 8162,Food,"123,365",11.50%
User 1376,Food,"171,335",3.60%
User 4124,Travel,"838,292",12.90%
User 2268,Food,"211,469",1.00%
User 4265,Travel,"962,378",5.00%
User 7688,Food,"234,795",6.80%
User 9846,Gaming,"453,353",6.70%
User 9769,Food,"804,357",10.00%
User 1395,Tech,"739,286",7.00%
User 9090,Gaming,"965,576",8.00%
User 9833,Travel,"91,780",14.10%
User 4875,Food,"954,840",4.90%
User 8870,Tech,"882,403",1.70%
User 2308,Gaming,"630,631",4.20%
User 3891,Gaming,"992,030",9.90%
User 6962,Food,"897,071",5.90%
User 1195,Fashion,"437,663",10.00%
User 5369,Travel,"481,289",8.30%
User 8381,Gaming,"522,542",9.10%
User 6059,Fashion,"63,368",7.10%
User 8287,Food,"696,457",4.90%
User 4606,Tech,"228,578",5.20%
User 2139,Tech,"282,525",8.70%
User 5882,Travel,"210,982",6.80%
User 7141,Gaming,"815,637",11.00%
User 1175,Food,"610,026",1.10%
User 2642,Tech,"922,528",6.00%
User 2724,Food,"364,446",9.90%
User 9222,Travel,"133,364",5.50%
User 9573,Food,"237,431",9.50%
User 5509,Food,"483,554",2.20%
User 7285,Food,"83,759",5.10%
User 8699,Tech,"13,805",10.10%
User 9613,Fashion,"565,177",3.20%
User 1332,Tech,"625,528",7.80%
User 1678,Tech,"850,246",3.60%
User 6881,Fashion,"314,119",8.80%
User 5936,Fashion,"933,569",14.10%
User 5656,Fashion,"356,458",11.70%
User 3200,Gaming,"517,947",9.90%
User 6841,Food,"970,712",11.50%
User 1428,Gaming,"96,475",10.40%
User 8643,Food,"701,902",4.30%
User 9918,Gaming,"820,687",1.40%
User 2306,Food,"795,334",11.70%
User 3819,Tech,"558,146",7.10%
User 6590,Food,"326,097",10.10%
User 6767,Travel,"945,625",14.80%
User 8295,Tech,"288,345",7.30%
User 6360,Gaming,"357,526",3.00%
User 8007,Fashion,"262,514",5.70%
User 1637,Travel,"14,115",7.70%
User 7898,Tech,"179,238",15.00%
User 5706,Fashion,"602,721",4.80%
User 3391,Gaming,"787,572",6.70%
User 3910,Travel,"128,026",13.70%
User 3847,Tech,"435,437",7.90%
User 3039,Fashion,"229,368",11.10%
User 8214,Food,"940,826",6.90%
User 6965,Gaming,"333,374",13.00%
User 4171,Food,"684,389",6.50%
User 1024,Food,"925,688",2.70%
User 9850,Tech,"359,104",7.50%
User 4476,Travel,"423,160",1.20%
User 7382,Gaming,"353,036",10.30%
User 7407,Fashion,"138,801",5.40%
User 6372,Gaming,"903,836",6.50%
User 1725,Food,"39,670",5.60%
User 2048,Travel,"337,946",14.00%
User 3942,Food,"359,601",5.70%
User 4185,Tech,"32,155",6.30%
User 3728,Food,"925,227",10.60%
User 9571,Fashion,"695,659",9.90%
User 6849,Fashion,"684,932",2.10%
User 3456,Food,"951,332",5.00%
User 8714,Food,"507,430",4.30%
User 7245,Tech,"656,180",5.00%
User 3207,Tech,"737,267",1.30%
User 6169,Fashion,"438,603",1.70%
User 9363,Fashion,"193,374",5.30%
User 8398,Travel,"250,996",10.10%
User 1507,Fashion,"620,199",11.20%
User 3423,Gaming,"557,633",13.50%
User 4289,Fashion,"928,029",6.70%
User 9541,Gaming,"986,580",3.00%
User 1108,Travel,"526,192",7.30%
User 6290,Travel,"683,545",4.70%
User 3414,Gaming,"566,094",8.50%
User 1941,Tech,"290,957",2.00%
User 2475,Tech,"979,845",13.30%
User 1137,Fashion,"920,792",5.10%
User 9262,Food,"556,101",9.10%
User 4994,Tech,"884,707",9.10%
User 5894,Tech,"474,756",7.50%
User 9821,Tech,"449,067",11.70%
User 7710,Food,"313,273",12.00%
User 2089,Food,"889,551",3.40%
User 9835,Fashion,"425,560",11.50%
User 2600,Tech,"365,940",3.40%
User 7390,Gaming,"369,808",12.10%
User 7389,Gaming,"180,672",7.60%
User 6229,Gaming,"966,207",11.70%
User 1885,Gaming,"331,036",12.30%
User 9776,Gaming,"87,735",13.60%
User 4118,Food,"465,878",7.30%
User 4742,Travel,"85,789",10.40%
User 6210,Gaming,"666,241",6.10%
User 2969,Gaming,"262,266",4.50%
User 7481,Travel,"625,892",2.70%
User 3519,Gaming,"996,332",5.90%
User 1909,Gaming,"615,752",13.20%
User 3315,Fashion,"437,781",13.50%
User 2302,Gaming,"70,233",8.00%
User 1010,Fashion,"460,930",4.50%
User 2046,Fashion,"137,629",1.70%
User 9308,Food,"119,029",4.80%
User 2837,Fashion,"273,480",4.90%
User 9188,Food,"948,420",7.70%
User 9054,Tech,"951,027",2.80%
User 3670,Travel,"359,031",15.00%
User 8987,Fashion,"195,088",5.20%
User 5915,Fashion,"184,389",4.80%
User 3423,Gaming,"562,314",11.60%
User 5093,Food,"399,307",1.50%
User 7307,Tech,"966,449",8.10%
User 6242,Travel,"599,861",11.50%
User 2506,Gaming,"619,018",9.80%
User 8918,Fashion,"120,625",8.30%
User 9798,Gaming,"120,461",4.30%
User 3161,Travel,"686,256",8.40%
User 1187,Tech,"300,711",11.80%
User 5923,Gaming,"86,334",8.60%
User 5451,Fashion,"606,564",8.00%
User 2694,Travel,"28,495",7.10%
User 9719,Food,"366,890",6.40%
User 5475,Fashion,"861,550",5.20%
User 5916,Gaming,"62,942",6.00%
User 1228,Gaming,"77,036",5.50%
User 3507,Fashion,"147,287",12.90%
User 4530,Tech,"112,054",11.40%
User 8457,Food,"68,536",11.20%
User 9695,Food,"347,561",1.00%
User 6002,Fashion,"8,130",14.40%
User 2367,Gaming,"695,658",10.00%
User 8585,Fashion,"653,377",10.20%
User 3546,Food,"777,717",4.20%
User 2147,Gaming,"783,490",4.10%
User 3451,Tech,"631,039",13.30%
User 1346,Gaming,"927,898",9.70%
User 4434,Gaming,"448,849",6.80%
